Miranda Lambert,Vice,The Weight of These Wings,42261,2016-07-18,0,73,contemporary country / country / country dawn / country road,2201305,0.568,57,NaN,0.562,0.247,240280,-7.775,233,"Sting of the needle dropping on a vinyl
Neon singer with a jukebox title full of heartbreak
33  45  78
When it hurts this good you gotta play it twice
Another vice

All dressed up in a pretty black label
Sweet salvation on a dining room table
Waiting on me
Where the numb meets the lonely

It's gone before it ever melts the ice
Another vice

Another call  another bed I shouldn't crawl out of
At 7AM with shoes in my hand
Said I wouldn't do it  but I did it again
And I know I'll be back tomorrow night  oh

I wear a town like a leather jacket
When the new wears off  I don't even pack it
If you need me
I'll be where my reputation don't precede me

Maybe I'm addicted to goodbyes
Another vice

Another town  where my past can't run me down
Another life  another call  another bed I shouldn't crawl out of
At 7AM with shoes in my hand
Said I wouldn't do it  but I did it again
And I know I'll be gone tomorrow night
Mmm  another vice

Standing at the sink  not looking at the mirror
Don't know where I am or how I got here
Well the only thing that I know how to find
Is another vice

Mmm another vice
Yes  another vice
Ooh  another vice
Another vice
Another vice
Another vice"
Miranda Lambert,Tin Man,The Weight of These Wings,40702,2016-11-18,0,73,contemporary country / country / country dawn / country road,2201305,0.425,63,NaN,0.372,0.292,259280,-10.92,147,"Hey there Mr. Tin Man
You don't know how lucky you are
You shouldn't spend your whole life wishin'
For something bound to fall apart
Everytime you're feeling empty
Better thank your lucky stars
If you ever felt one breaking
You'd never want a heart
Oo-oo
Oo-oo
Oo

Hey there Mr. Tin Man
You don't know how lucky you are
I've been on the road that you're on
It didn't get me very far
You ain't missing nothing
'Cause love is so damn hard
Take it from me darling
You don't want a heart
Oo-oo
Oo-oo
Oo

Hey there Mr. Tin Man
I'm glad we talked this out
You can take mine if you want it
It's in pieces now
By the way there Mr. Tin Man
If you don't mind the scars
You give me your armor
And you can have my heart
Oo-oo
Oo-oo
Oo"
Miranda Lambert,Little Red Wagon,Platinum,29992,2014-06-03,0,73,contemporary country / country / country dawn / country road,2201305,0.584,54,NaN,0.813,0.774,204387,-7.221,255,"You only love me for my big sunglasses
And my Tony Lamas
And my Dodge Dart Classic
You said ""I'll be Johnny and you'll be June
I'll ride with you to the moon""
But guess what?

You can't ride in my little red wagon
The front seat's broken and the axle's draggin'
You can't step to this backyard swagger
You know it ain't my fault when I'm walkin' jaws droppin' like
Ohhhh
Ahhhh
Ohhhh
Ahh

Oh  heaven help me
I been sowwin' wildflower seeds
And chasin' tumbleweeds
But that's just who I be
And you're just tryin' to slow this rolling stone
But I'm on to you babe
So guess what?

You can't ride in my little red wagon
The front seat's broken and the axle's draggin'
You can't step to this backyard swagger
You know it ain't my fault when I'm walkin' jaws droppin' like
Ohhhh
Ahhhh
Ohhhh
Ahh

Oh  you only love me for my big sunglasses and my Tony Lamas
I live in Oklahoma
And I've got long  blonde hair
And I play guitar and I go on the road
And I do all the shit you wanna do
And my dog does tricks
And I ain't about drama y'all
I love my apron
But I ain't your momma
So guess what?
What?!

You can't ride in my little red wagon
The front seat's broken and the axle's draggin'
You can't step to this backyard swagger
You know it ain't my fault when I'm walkin' jaws droppin' like
Ohhhh
Ahhhh
Ohhhh
Ahh"
Miranda Lambert,Mama’s Broken Heart,Four the Record,29986,2013-01-14,0,73,contemporary country / country / country dawn / country road,2201305,0.768,64,NaN,0.809,0.748,177773,-4.204,315,"I cut my bangs with some rusty kitchen scissors
I screamed his name ‘til the neighbours called the cops
I numbed the pain at the expense of my liver
Don’t know what I did next  all I know I couldn’t stop

Word got around to the barflies and the baptists
My mama’s phone started ringing off the hook
I can hear her now saying she ain’t gonna have it
Don’t matter how you feel  it only matters how you look

Go and fix your make up  girl  it’s just a break up
Run and hide your crazy and start actin’ like a lady
Cause I raised you better  gotta keep it together
Even when you fall apart
But this ain’t my mama’s broken heart

Wish I could be just a little less dramatic
Like a Kennedy when Camelot went down in flames
Leave it to me to be holding the matches
When the fire trucks show up and there’s nobody else to blame

Can’t get revenge and keep a spotless reputation
Sometimes revenge's just a choice you gotta make
My mama came from a softer generation
Where you get a grip and bite your lip just to save a little face

Go and fix your make up  girl  it’s just a break up
Run and hide your crazy and start actin’ like a lady
Cause I raised you better  gotta keep it together
Even when you fall apart
But this ain’t my mama’s broken heart

Powder your nose  paint your toes
Line your lips and keep 'em closed
Cross your legs  dot your eyes
And never let 'em see you cry

Go and fix your make up  girl  it’s just a break up
Run and hide your crazy and start actin’ like a lady
Cause I raised you better  gotta keep it together
Even when you fall apart
But this ain’t my mama’s broken heart"
Miranda Lambert,Somethin’ Bad,Platinum,26966,2014-05-19,1,73,contemporary country / country / country dawn / country road,2201305,0.777,13,NaN,0.245,0.349,109107,-14.266,307,"Stand on the bar  stomp your feet  start clapping
Got a real good feeling somethin' bad about to happen

Pulled up to the church but I got so nervous
Had to back it on up  couldn't make it to the service
Grabbed all the cash underneath my mattress
Got a real good feeling somethin' bad about to happen

Ran into a girl in a pretty white dress
Rolled down a window
Where you headed to next?
Said I'm heading to the bar with my money out of the mattress
Got a real good feeling somethin' bad about to happen

Stand on the bar  stomp your feet  start clapping
Got a real good feeling somethin' bad about to happen
Drinks keep coming  throw my head back laughing
Wake up in the morning  don't know what happened
Whoa... somethin' bad
Whoa... somethin' bad

Now me and that girl that I met on the street
We're rollin' down the road  down to New Orleans
Got a full tank of gas and the money out of the mattress
Got a real good feeling somethin' bad about to happen

Bout to tear it up down in New Orleans
Just like a real-life Thelma and Louise
If the cops catch up  they're gonna call it kidnapping
Got a real good feelin' somethin' bad about to happen

Stand on the bar  stomp your feet  start clapping
Got a real good feeling somethin' bad about to happen
Drinks keep coming  throw my head back laughing
Wake up in the morning  don't know what happened
Whoa... somethin' bad
Whoa... somethin' bad
Stand on the bar  stomp your feet  start clapping
Got a real good feeling somethin' bad about to happen
Drinks keep coming  throw my head back laughing
Wake up in the morning  don't know what happened
(Yeah  yeah  Yeah)

Whoa... somethin' bad
Whoa... somethin' bad"
Miranda Lambert,Runnin’ Just in Case,The Weight of These Wings,19365,2016-11-18,0,73,contemporary country / country / country dawn / country road,2201305,0.42,42,NaN,0.498,0.107,273480,-9.091,240,"There's trouble where I'm going
But I'm gonna go there anyway
I hate Sunday mornings
Cause they always seem to start this way
I'm looking for a lighter
I already bought the cigarettes
Guess I picked me up a habit
On my way out of Lafayette
Eastbound and Down
I turn it up 'cause that's sure how I feel
My mind is racing through the pines
My hands are shaky on the steering wheel
I'm going north on 59 but I know good and well
I'm headed south
'Cause me and Birmingham
Don't have a history of working out

What I lost in Louisiana
I found back in Alabama
But nobody ever taught me how to stay
It ain't love that I'm chasing
But I'm running just in case

I ain't unpacked my suitcase
Since the day that I turned twenty one
It's been a long ten years since then
It's getting kinda cumbersome
The first one and the last one
And the one that's got my name in ink
The smoker and the fighter
And the one in every song I sing

What I lost in Lubbock  Texas
I looked for in all the rest
But I guess no one ever taught me how to stay
It ain't love that I'm chasing
But I'm running just in case

I carry them around with me
I don't mind having scars
Happiness ain't prison
But there's freedom in a broken heart"
Miranda Lambert,The House That Built Me,Revolution,13652,2010-03-08,0,73,contemporary country / country / country dawn / country road,2201305,0.515,65,NaN,0.3,0.206,236627,-8.005,297,"I know they say ""You can’t go home again""
I just had to come back one last time
Ma'am  I know you don't know me from Adam
But these hand prints on the front steps are mine
Up those stairs  in that little back bedroom
Is where I did my homework and I learned to play guitar
And I bet you didn't know under that live oak
My favorite dog is buried in the yard

I thought if I could touch this place or feel it
This brokenness inside me might start healing
Out here it’s like I'm someone else
I thought that maybe I could find myself
If I could just come in  I swear I'll leave
Won't take nothing but a memory
From the house that built me

Mama cut out pictures of houses for years
From 'Better Homes and Garden' magazine
Plans were drawn and concrete poured
Nail by nail and board by board
Daddy gave life to Mama's dream

I thought if I could touch this place or feel it
This brokenness inside me might start healing
Out here it’s like I'm someone else
I thought that maybe I could find myself
If I could just come in  I swear I'll leave
Won't take nothing but a memory
From the house that built me

You leave home  you move on and you do the best you can
I got lost in this whole world and forgot who I am

I thought if I could touch this place or feel it
This brokenness inside me might start healing
Out here it’s like I'm someone else
I thought that maybe I could find myself
If I could walk around  I swear I'll leave
Won't take nothing but a memory
From the house that built me"
Miranda Lambert,We Should Be Friends,The Weight of These Wings,13393,2016-12-12,0,73,contemporary country / country / country dawn / country road,2201305,0.622,48,NaN,0.701,0.777,170747,-6.212,239,"If your mind's as cluttered as your kitchen sink
If your heart's as empty as your diesel tank
If all your white t-shirts have stains
If you've got some goods and got some ink
Well then  we should be friends

If you borrow dresses like you borrow time
If you dream all day and drink all night
If you're looking for love but willing to fight
Over men and momma's and Miller Lites
Well then  we should be friends

I don't know you well but I know that look
And I can judge the cover 'cause I read the book
On losing sleep and gaining weight
On pain and shame and crazy trains

If you paint your nails while you cut your loss
If you like acting like you're the boss
If everything your daddy says
Is something you can put stock in
Well then  we should be friends

I don't know you well but I know that look
And I can judge the cover 'cause I wrote the book
On losing sleep and gaining weight
On pain and shame and crazy trains
One  two  three..

If you use alcohol as a sedative
And bless your heart as a negative
If you ride your white horse like the wind
If what you see is what you get
Well then  oh  we should be friends
(Alright)

Well then  oh  we should be friends
Well then  oh  we can be friends"
Miranda Lambert,Over You,Four the Record,12684,2012-01-09,0,73,contemporary country / country / country dawn / country road,2201305,0.566,56,NaN,0.507,0.141,253373,-6.973,156,"Weather man said  it’s gonna snow
By now I should  be used to the cold

Mid-February shouldn’t be so scary
It was only December
I still remember the presents  the tree  you and me

But you went away
How dare you?
I miss you
They say I’ll be OK
But I’m not going to ever get over you

Living alone  here in this place
I think of you  and I’m not afraid

Your favorite records make me feel better
Cause you sing along
With every song
I know you didn’t mean to give them to me

But you went away
How dare you?
I miss you
They say I’ll be OK
But I’m not going to ever get over you

It really sinks in  you know  when I see it in stone

Cause you went away
How dare you?
I miss you
They say I’ll be OK
But I’m not going to ever get over you"
Miranda Lambert,Highway Vagabond,The Weight of These Wings,11586,2016-11-04,0,73,contemporary country / country / country dawn / country road,2201305,0.447,45,NaN,0.823,0.909,233267,-7.174,326,"I wanna go somewhere where nobody knows
I wanna know somewhere where nobody goes
Following gold lines on the ground  northbound  southbound
There's something 'bout the way I feel when the wheels go round and round and round

Highway vagabonds  living like hippies
Moving right along to the next big city
Okay  jump off the exit
Truck stop  rest stop  next stop Texas
Caravan like a wild west show
I don't care  man  as long as we go -
My way
Get off one and get on the other -
Highway  vagabonds

Daddy was a drifter  mama died young
I still don't know where I come from
On the map and off the grid with all my friends
Roaming town to town like Willie did when he was a kid  on the road again

Highway vagabonds  living like hippies
Moving right along to the next big city
Okay  jump off the exit
Truck stop  rest stop  next stop Texas
Caravan like a wild west show
I don't care  man  as long as we go -
My way  singing for your supper
Get off one and get on the other -
Highway  vagabonds

But if we ain't broke down then we ain't doing something right
But if we ain't broke down then we ain't slowing down tonight

Highway vagabonds  living like hippies
Moving right along to the next big city

Highway vagabonds  living like hippies
Moving right along to the next big city
Okay  jump off the exit
Truck stop  rest stop  next stop Texas
Caravan like a wild west show
I don't care  man  as long as we go -
My way  singing for your supper
Get off one and get on the other -
Highway  vagabonds

Highway vagabonds
Highway vagabonds
Living like hippies (Highway vagabonds)
Moving right along to the next big city
Living like hippies (Highway vagabonds)
Moving right along to the next big city (Highway vagabonds)
Living like - Highway vagabonds (Highway vagabonds)"
